The average electron(hole) population on different diabatic wave function for one core sample. 
         time      csit(1)      csit(2)      csit(3)      csit(4)      csit(5)      csit(6)      csit(7)      csit(8)      csit(9)     csit(10)     csit(11)     csit(12)     csit(13)     csit(14)     csit(15)     csit(16)     csit(17)     csit(18)     csit(19)     csit(20)     csit(21)     csit(22)     csit(23)     csit(24)     csit(25)     csit(26)     csit(27)     csit(28)     csit(29)     csit(30)     csit(31)     csit(32)     csit(33)     csit(34)     csit(35)     csit(36)
          fs             1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36
  0.90000E+01  0.22850E-04  0.47489E-04  0.52139E-03  0.46502E-02  0.51648E-03  0.56645E-04  0.47195E-04  0.91353E-03  0.75647E-01  0.10021E+00  0.51824E-03  0.91217E-04  0.46154E-03  0.10491E+00  0.44476E-03  0.61145E-01  0.75760E-03  0.89410E-03  0.51013E-02  0.53282E-01  0.76259E-01  0.89339E-02  0.66856E-01  0.94462E-01  0.83585E-03  0.52153E-03  0.88803E-03  0.78241E-01  0.47198E-03  0.95737E-01  0.49341E-04  0.75516E-04  0.59288E-03  0.10389E+00  0.61525E-01  0.42154E-03
  0.10000E+02  0.15771E-04  0.38367E-04  0.71389E-03  0.45971E-02  0.61748E-03  0.47139E-04  0.56485E-04  0.61764E-03  0.74788E-01  0.10948E+00  0.71921E-03  0.41244E-04  0.48562E-03  0.84640E-01  0.38079E-03  0.52914E-01  0.90687E-03  0.58319E-03  0.39012E-02  0.74630E-01  0.77114E-01  0.47352E-02  0.64270E-01  0.71988E-01  0.54878E-03  0.92426E-03  0.95128E-03  0.82075E-01  0.55257E-03  0.97386E-01  0.39587E-04  0.64389E-04  0.48105E-03  0.10932E+00  0.78927E-01  0.44990E-03
  0.11000E+02  0.19428E-04  0.39935E-04  0.70224E-03  0.78233E-02  0.11096E-02  0.41298E-04  0.47207E-04  0.58290E-03  0.58288E-01  0.93296E-01  0.32460E-03  0.38739E-04  0.74744E-03  0.71486E-01  0.37319E-03  0.60567E-01  0.69511E-03  0.81521E-03  0.26991E-02  0.90518E-01  0.83734E-01  0.36642E-02  0.72619E-01  0.80249E-01  0.55470E-03  0.56924E-03  0.59891E-03  0.77537E-01  0.42033E-03  0.85775E-01  0.42428E-04  0.50228E-04  0.67263E-03  0.93509E-01  0.10914E+00  0.64757E-03
  0.12000E+02  0.19652E-04  0.53087E-04  0.98785E-03  0.12922E-01  0.96587E-03  0.38209E-04  0.47620E-04  0.46983E-03  0.10025E+00  0.70157E-01  0.51044E-03  0.40156E-04  0.50674E-03  0.87239E-01  0.48682E-03  0.64295E-01  0.36339E-03  0.95392E-03  0.42397E-02  0.92017E-01  0.83846E-01  0.82570E-02  0.71776E-01  0.82750E-01  0.64575E-03  0.85571E-03  0.54974E-03  0.72493E-01  0.54747E-03  0.78038E-01  0.48798E-04  0.34709E-04  0.50024E-03  0.68745E-01  0.93748E-01  0.60326E-03
  0.13000E+02  0.23181E-04  0.49353E-04  0.64732E-03  0.79545E-02  0.78812E-03  0.47859E-04  0.54641E-04  0.44868E-03  0.10757E+00  0.50647E-01  0.90837E-03  0.53338E-04  0.52032E-03  0.76835E-01  0.47707E-03  0.80833E-01  0.49100E-03  0.51879E-03  0.10101E-01  0.10726E+00  0.63281E-01  0.13543E-01  0.66266E-01  0.10419E+00  0.76990E-03  0.79047E-03  0.81693E-03  0.58077E-01  0.38190E-03  0.10086E+00  0.41210E-04  0.47028E-04  0.54819E-03  0.60475E-01  0.83076E-01  0.61219E-03
  0.14000E+02  0.21925E-04  0.50967E-04  0.10155E-02  0.10484E-01  0.73471E-03  0.46319E-04  0.71751E-04  0.71211E-03  0.97549E-01  0.53084E-01  0.58633E-03  0.52311E-04  0.53860E-03  0.61588E-01  0.55248E-03  0.10284E+00  0.66752E-03  0.65604E-03  0.81369E-02  0.10980E+00  0.91151E-01  0.13681E-01  0.70226E-01  0.12998E+00  0.54561E-03  0.78993E-03  0.75910E-03  0.73937E-01  0.50266E-03  0.48723E-01  0.55729E-04  0.63585E-04  0.68053E-03  0.37715E-01  0.81495E-01  0.50971E-03
  0.15000E+02  0.18773E-04  0.47725E-04  0.57534E-03  0.10074E-01  0.71897E-03  0.44502E-04  0.38248E-04  0.60289E-03  0.79690E-01  0.82572E-01  0.55651E-03  0.57693E-04  0.56300E-03  0.62010E-01  0.56504E-03  0.98200E-01  0.60009E-03  0.55789E-03  0.65488E-02  0.99934E-01  0.72185E-01  0.11757E-01  0.93317E-01  0.10653E+00  0.62158E-03  0.67446E-03  0.62044E-03  0.90550E-01  0.40225E-03  0.66786E-01  0.44294E-04  0.63206E-04  0.48742E-03  0.43772E-01  0.67569E-01  0.64017E-03
  0.16000E+02  0.18363E-04  0.45164E-04  0.73816E-03  0.75906E-02  0.63469E-03  0.64272E-04  0.41743E-04  0.62244E-03  0.84522E-01  0.72623E-01  0.55288E-03  0.47954E-04  0.71002E-03  0.71973E-01  0.49033E-03  0.75451E-01  0.48454E-03  0.87394E-03  0.56233E-02  0.10925E+00  0.72607E-01  0.75473E-02  0.78249E-01  0.87525E-01  0.62263E-03  0.68575E-03  0.58916E-03  0.76256E-01  0.47185E-03  0.66356E-01  0.50448E-04  0.59417E-04  0.61916E-03  0.10175E+00  0.73563E-01  0.69336E-03
  0.17000E+02  0.24932E-04  0.55654E-04  0.71387E-03  0.60937E-02  0.66262E-03  0.65254E-04  0.43025E-04  0.77995E-03  0.73663E-01  0.11000E+00  0.54800E-03  0.52801E-04  0.79654E-03  0.76449E-01  0.45745E-03  0.77598E-01  0.55808E-03  0.11425E-02  0.34304E-02  0.10392E+00  0.52480E-01  0.79602E-02  0.82694E-01  0.11418E+00  0.59776E-03  0.67994E-03  0.62555E-03  0.76594E-01  0.57859E-03  0.73940E-01  0.93528E-04  0.74330E-04  0.55875E-03  0.82775E-01  0.48252E-01  0.87575E-03
  0.18000E+02  0.21476E-04  0.55149E-04  0.50095E-03  0.57046E-02  0.66003E-03  0.64432E-04  0.58960E-04  0.78953E-03  0.92177E-01  0.73346E-01  0.54183E-03  0.80102E-04  0.11013E-02  0.62201E-01  0.50494E-03  0.75502E-01  0.53312E-03  0.83277E-03  0.46457E-02  0.11562E+00  0.80003E-01  0.66675E-02  0.94719E-01  0.83243E-01  0.74645E-03  0.69344E-03  0.61110E-03  0.90811E-01  0.55603E-03  0.66575E-01  0.68879E-04  0.64852E-04  0.44937E-03  0.64487E-01  0.74735E-01  0.62321E-03
