One trajecotry PES of iaver=       1 pes_one(ifre,isnap),ifre=0,nfre)
        time    active_pes pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre)
           fs           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV
  0.90000E+01 -0.29269E+01 -0.86757E-02 -0.22964E-01 -0.21817E+01 -0.22777E+01 -0.23423E+01 -0.23738E+01 -0.24870E+01 -0.25097E+01 -0.25780E+01 -0.25982E+01 -0.26498E+01 -0.26750E+01 -0.27855E+01 -0.28337E+01 -0.29047E+01 -0.29269E+01 -0.30501E+01 -0.44240E+01 -0.44641E+01 -0.45497E+01 -0.46115E+01 -0.47061E+01 -0.47634E+01 -0.51162E+01 -0.52177E+01 -0.52307E+01 -0.53241E+01 -0.53619E+01 -0.54178E+01 -0.65486E+01 -0.65682E+01 -0.66819E+01 -0.67294E+01 -0.67813E+01 -0.68441E+01 -0.74072E+01
  0.10000E+02 -0.29406E+01  0.10754E-01  0.28134E-02 -0.21456E+01 -0.22601E+01 -0.23288E+01 -0.23421E+01 -0.24623E+01 -0.25000E+01 -0.25388E+01 -0.25998E+01 -0.26464E+01 -0.26512E+01 -0.27881E+01 -0.28176E+01 -0.28802E+01 -0.29406E+01 -0.30099E+01 -0.44070E+01 -0.44649E+01 -0.45389E+01 -0.45965E+01 -0.47004E+01 -0.47472E+01 -0.51138E+01 -0.51887E+01 -0.52314E+01 -0.53295E+01 -0.53658E+01 -0.54160E+01 -0.65453E+01 -0.65725E+01 -0.66888E+01 -0.67251E+01 -0.67928E+01 -0.68451E+01 -0.74101E+01
  0.11000E+02 -0.29340E+01  0.40151E-01  0.19599E-01 -0.21086E+01 -0.22410E+01 -0.22946E+01 -0.23462E+01 -0.24383E+01 -0.24870E+01 -0.25243E+01 -0.26029E+01 -0.26379E+01 -0.26489E+01 -0.27641E+01 -0.27936E+01 -0.28544E+01 -0.29340E+01 -0.29686E+01 -0.43923E+01 -0.44651E+01 -0.45251E+01 -0.45829E+01 -0.46700E+01 -0.47494E+01 -0.51182E+01 -0.51631E+01 -0.52288E+01 -0.53232E+01 -0.53725E+01 -0.54133E+01 -0.65445E+01 -0.65784E+01 -0.66952E+01 -0.67170E+01 -0.68026E+01 -0.68417E+01 -0.74122E+01
  0.12000E+02 -0.29027E+01  0.66083E-01  0.34636E-01 -0.20743E+01 -0.22368E+01 -0.22682E+01 -0.23594E+01 -0.24155E+01 -0.24749E+01 -0.25328E+01 -0.26008E+01 -0.26324E+01 -0.26590E+01 -0.27318E+01 -0.27565E+01 -0.28291E+01 -0.29027E+01 -0.29394E+01 -0.43824E+01 -0.44641E+01 -0.45145E+01 -0.45650E+01 -0.46425E+01 -0.47510E+01 -0.51290E+01 -0.51467E+01 -0.52232E+01 -0.53092E+01 -0.53801E+01 -0.54048E+01 -0.65471E+01 -0.65835E+01 -0.66994E+01 -0.67069E+01 -0.68089E+01 -0.68356E+01 -0.74135E+01
  0.13000E+02 -0.28614E+01  0.91261E-01  0.52129E-01 -0.20415E+01 -0.22386E+01 -0.22550E+01 -0.23672E+01 -0.24026E+01 -0.24646E+01 -0.25329E+01 -0.25965E+01 -0.26254E+01 -0.26604E+01 -0.27108E+01 -0.27222E+01 -0.27998E+01 -0.28614E+01 -0.29140E+01 -0.43747E+01 -0.44651E+01 -0.45062E+01 -0.45390E+01 -0.46271E+01 -0.47496E+01 -0.51270E+01 -0.51523E+01 -0.52190E+01 -0.52903E+01 -0.53842E+01 -0.53966E+01 -0.65512E+01 -0.65880E+01 -0.66892E+01 -0.67082E+01 -0.68069E+01 -0.68301E+01 -0.74136E+01
  0.14000E+02 -0.28326E+01  0.11185E+00  0.66697E-01 -0.20251E+01 -0.22369E+01 -0.22623E+01 -0.23441E+01 -0.24379E+01 -0.24554E+01 -0.24972E+01 -0.25955E+01 -0.26177E+01 -0.26541E+01 -0.27023E+01 -0.27076E+01 -0.27724E+01 -0.28326E+01 -0.28857E+01 -0.43717E+01 -0.44643E+01 -0.45042E+01 -0.45172E+01 -0.46202E+01 -0.47449E+01 -0.51181E+01 -0.51731E+01 -0.52205E+01 -0.52720E+01 -0.53776E+01 -0.53895E+01 -0.65560E+01 -0.65920E+01 -0.66765E+01 -0.67099E+01 -0.67954E+01 -0.68257E+01 -0.74122E+01
  0.15000E+02 -0.28252E+01  0.12671E+00  0.78522E-01 -0.20304E+01 -0.22376E+01 -0.22638E+01 -0.23246E+01 -0.24344E+01 -0.24671E+01 -0.24957E+01 -0.25618E+01 -0.26072E+01 -0.26665E+01 -0.26841E+01 -0.26959E+01 -0.27536E+01 -0.28252E+01 -0.28674E+01 -0.43688E+01 -0.44540E+01 -0.45018E+01 -0.45236E+01 -0.46153E+01 -0.47400E+01 -0.51152E+01 -0.51876E+01 -0.52367E+01 -0.52615E+01 -0.53581E+01 -0.53778E+01 -0.65600E+01 -0.65946E+01 -0.66663E+01 -0.67083E+01 -0.67783E+01 -0.68201E+01 -0.74094E+01
  0.16000E+02 -0.28256E+01  0.13426E+00  0.84723E-01 -0.20585E+01 -0.22376E+01 -0.22462E+01 -0.23251E+01 -0.24023E+01 -0.24687E+01 -0.25059E+01 -0.25672E+01 -0.26024E+01 -0.26363E+01 -0.26608E+01 -0.27007E+01 -0.27655E+01 -0.28256E+01 -0.28734E+01 -0.43622E+01 -0.44486E+01 -0.45053E+01 -0.45477E+01 -0.46130E+01 -0.47342E+01 -0.51177E+01 -0.51904E+01 -0.52585E+01 -0.52668E+01 -0.53335E+01 -0.53615E+01 -0.65622E+01 -0.65935E+01 -0.66646E+01 -0.67021E+01 -0.67632E+01 -0.68121E+01 -0.74061E+01
  0.17000E+02 -0.28252E+01  0.13606E+00  0.85307E-01 -0.21029E+01 -0.22121E+01 -0.22436E+01 -0.23260E+01 -0.23918E+01 -0.24665E+01 -0.24814E+01 -0.25838E+01 -0.25965E+01 -0.26211E+01 -0.26575E+01 -0.27091E+01 -0.27873E+01 -0.28252E+01 -0.28863E+01 -0.43559E+01 -0.44611E+01 -0.45128E+01 -0.45735E+01 -0.46140E+01 -0.47219E+01 -0.51241E+01 -0.51936E+01 -0.52595E+01 -0.52801E+01 -0.53218E+01 -0.53431E+01 -0.65603E+01 -0.65900E+01 -0.66713E+01 -0.66899E+01 -0.67521E+01 -0.68051E+01 -0.74025E+01
  0.18000E+02 -0.28397E+01  0.13327E+00  0.79537E-01 -0.21529E+01 -0.21935E+01 -0.22399E+01 -0.23116E+01 -0.23946E+01 -0.24641E+01 -0.24789E+01 -0.25478E+01 -0.25961E+01 -0.26167E+01 -0.26906E+01 -0.27289E+01 -0.28009E+01 -0.28397E+01 -0.28943E+01 -0.43541E+01 -0.44844E+01 -0.45231E+01 -0.45903E+01 -0.46223E+01 -0.47063E+01 -0.51334E+01 -0.52013E+01 -0.52429E+01 -0.52755E+01 -0.53186E+01 -0.53479E+01 -0.65552E+01 -0.65878E+01 -0.66741E+01 -0.66844E+01 -0.67440E+01 -0.68007E+01 -0.73994E+01
  0.19000E+02 -0.28596E+01  0.12309E+00  0.64372E-01 -0.21690E+01 -0.22194E+01 -0.22468E+01 -0.23029E+01 -0.24053E+01 -0.24531E+01 -0.24876E+01 -0.25330E+01 -0.26042E+01 -0.26308E+01 -0.27002E+01 -0.27452E+01 -0.28291E+01 -0.28596E+01 -0.28934E+01 -0.43630E+01 -0.45124E+01 -0.45347E+01 -0.45947E+01 -0.46351E+01 -0.46903E+01 -0.51475E+01 -0.51981E+01 -0.52269E+01 -0.52808E+01 -0.52974E+01 -0.53716E+01 -0.65502E+01 -0.65870E+01 -0.66630E+01 -0.66960E+01 -0.67383E+01 -0.68000E+01 -0.73972E+01
  0.20000E+02 -0.28730E+01  0.10644E+00  0.42904E-01 -0.21765E+01 -0.22317E+01 -0.22900E+01 -0.23125E+01 -0.24276E+01 -0.24399E+01 -0.24830E+01 -0.25544E+01 -0.26226E+01 -0.26515E+01 -0.27023E+01 -0.27482E+01 -0.28440E+01 -0.28730E+01 -0.28974E+01 -0.43830E+01 -0.45228E+01 -0.45492E+01 -0.45977E+01 -0.46380E+01 -0.46837E+01 -0.51607E+01 -0.51751E+01 -0.52428E+01 -0.52750E+01 -0.52872E+01 -0.53895E+01 -0.65457E+01 -0.65879E+01 -0.66581E+01 -0.67021E+01 -0.67400E+01 -0.68018E+01 -0.73961E+01
  0.21000E+02 -0.28621E+01  0.84248E-01  0.19209E-01 -0.21950E+01 -0.22409E+01 -0.23173E+01 -0.23509E+01 -0.24349E+01 -0.24459E+01 -0.24937E+01 -0.25856E+01 -0.26345E+01 -0.26777E+01 -0.27045E+01 -0.27617E+01 -0.28228E+01 -0.28621E+01 -0.29270E+01 -0.44097E+01 -0.45037E+01 -0.45587E+01 -0.46054E+01 -0.46373E+01 -0.46905E+01 -0.51425E+01 -0.51883E+01 -0.52586E+01 -0.52631E+01 -0.52931E+01 -0.54027E+01 -0.65430E+01 -0.65913E+01 -0.66591E+01 -0.67016E+01 -0.67500E+01 -0.68048E+01 -0.73961E+01
  0.22000E+02 -0.28440E+01  0.56431E-01 -0.53435E-02 -0.22252E+01 -0.22575E+01 -0.23464E+01 -0.23910E+01 -0.24291E+01 -0.24664E+01 -0.25274E+01 -0.26144E+01 -0.26358E+01 -0.27070E+01 -0.27172E+01 -0.27790E+01 -0.27909E+01 -0.28440E+01 -0.29473E+01 -0.44356E+01 -0.44707E+01 -0.45622E+01 -0.46068E+01 -0.46380E+01 -0.47100E+01 -0.51275E+01 -0.52075E+01 -0.52492E+01 -0.52695E+01 -0.53098E+01 -0.54110E+01 -0.65410E+01 -0.65976E+01 -0.66629E+01 -0.67032E+01 -0.67620E+01 -0.68078E+01 -0.73973E+01
  0.23000E+02 -0.28270E+01  0.26029E-01 -0.27507E-01 -0.22598E+01 -0.22761E+01 -0.23848E+01 -0.24051E+01 -0.24499E+01 -0.24936E+01 -0.25604E+01 -0.26260E+01 -0.26396E+01 -0.27185E+01 -0.27459E+01 -0.27529E+01 -0.28103E+01 -0.28270E+01 -0.29578E+01 -0.44177E+01 -0.44769E+01 -0.45605E+01 -0.46024E+01 -0.46331E+01 -0.47396E+01 -0.51244E+01 -0.52231E+01 -0.52445E+01 -0.52698E+01 -0.53300E+01 -0.54148E+01 -0.65397E+01 -0.66073E+01 -0.66634E+01 -0.67116E+01 -0.67719E+01 -0.68100E+01 -0.73991E+01
  0.24000E+02 -0.28367E+01 -0.45153E-02 -0.47486E-01 -0.22846E+01 -0.22913E+01 -0.24083E+01 -0.24286E+01 -0.24819E+01 -0.25208E+01 -0.25924E+01 -0.26212E+01 -0.26438E+01 -0.27286E+01 -0.27487E+01 -0.27546E+01 -0.28345E+01 -0.28367E+01 -0.29624E+01 -0.43846E+01 -0.44981E+01 -0.45571E+01 -0.45977E+01 -0.46322E+01 -0.47676E+01 -0.51316E+01 -0.52307E+01 -0.52465E+01 -0.52718E+01 -0.53457E+01 -0.54164E+01 -0.65390E+01 -0.66184E+01 -0.66605E+01 -0.67246E+01 -0.67798E+01 -0.68130E+01 -0.74014E+01
  0.25000E+02 -0.28686E+01 -0.29984E-01 -0.62728E-01 -0.22868E+01 -0.22977E+01 -0.24181E+01 -0.24661E+01 -0.25091E+01 -0.25304E+01 -0.25951E+01 -0.26143E+01 -0.26756E+01 -0.27435E+01 -0.27487E+01 -0.27685E+01 -0.28501E+01 -0.28686E+01 -0.29669E+01 -0.43615E+01 -0.45124E+01 -0.45511E+01 -0.45957E+01 -0.46407E+01 -0.47881E+01 -0.51450E+01 -0.52303E+01 -0.52528E+01 -0.52772E+01 -0.53553E+01 -0.54157E+01 -0.65399E+01 -0.66301E+01 -0.66559E+01 -0.67356E+01 -0.67861E+01 -0.68156E+01 -0.74037E+01
  0.26000E+02 -0.28930E+01 -0.43658E-01 -0.75529E-01 -0.22658E+01 -0.23007E+01 -0.24236E+01 -0.24865E+01 -0.25136E+01 -0.25387E+01 -0.25997E+01 -0.26115E+01 -0.27086E+01 -0.27401E+01 -0.27730E+01 -0.27880E+01 -0.28666E+01 -0.28930E+01 -0.29776E+01 -0.43501E+01 -0.45184E+01 -0.45410E+01 -0.45987E+01 -0.46594E+01 -0.47990E+01 -0.51611E+01 -0.52273E+01 -0.52609E+01 -0.52871E+01 -0.53562E+01 -0.54098E+01 -0.65412E+01 -0.66418E+01 -0.66502E+01 -0.67400E+01 -0.67929E+01 -0.68182E+01 -0.74057E+01
  0.27000E+02 -0.29193E+01 -0.48375E-01 -0.88655E-01 -0.22428E+01 -0.23041E+01 -0.24062E+01 -0.24946E+01 -0.24994E+01 -0.25675E+01 -0.25899E+01 -0.26397E+01 -0.27208E+01 -0.27386E+01 -0.27978E+01 -0.28112E+01 -0.28802E+01 -0.29193E+01 -0.29931E+01 -0.43514E+01 -0.45156E+01 -0.45361E+01 -0.46077E+01 -0.46817E+01 -0.48012E+01 -0.51743E+01 -0.52246E+01 -0.52732E+01 -0.52991E+01 -0.53486E+01 -0.53990E+01 -0.65442E+01 -0.66407E+01 -0.66550E+01 -0.67368E+01 -0.67981E+01 -0.68210E+01 -0.74070E+01
  0.28000E+02 -0.29535E+01 -0.46612E-01 -0.96855E-01 -0.22253E+01 -0.23055E+01 -0.23820E+01 -0.24839E+01 -0.24939E+01 -0.25603E+01 -0.26149E+01 -0.26640E+01 -0.27130E+01 -0.27403E+01 -0.28001E+01 -0.28397E+01 -0.28905E+01 -0.29535E+01 -0.30059E+01 -0.43646E+01 -0.45060E+01 -0.45437E+01 -0.46166E+01 -0.47021E+01 -0.47902E+01 -0.51832E+01 -0.52232E+01 -0.52887E+01 -0.53104E+01 -0.53339E+01 -0.53847E+01 -0.65493E+01 -0.66346E+01 -0.66624E+01 -0.67290E+01 -0.67969E+01 -0.68241E+01 -0.74070E+01
  0.29000E+02 -0.29793E+01 -0.41339E-01 -0.99159E-01 -0.22184E+01 -0.23080E+01 -0.23671E+01 -0.24644E+01 -0.24906E+01 -0.25381E+01 -0.26454E+01 -0.26706E+01 -0.26969E+01 -0.27495E+01 -0.27928E+01 -0.28628E+01 -0.28936E+01 -0.29793E+01 -0.30127E+01 -0.43872E+01 -0.44969E+01 -0.45560E+01 -0.46247E+01 -0.47149E+01 -0.47687E+01 -0.51912E+01 -0.52214E+01 -0.52939E+01 -0.53163E+01 -0.53253E+01 -0.53691E+01 -0.65571E+01 -0.66282E+01 -0.66662E+01 -0.67201E+01 -0.67891E+01 -0.68252E+01 -0.74057E+01
