The average electron(hole) population on different diabatic wave function for one core sample. 
         time      csit(1)      csit(2)      csit(3)      csit(4)      csit(5)      csit(6)      csit(7)      csit(8)      csit(9)     csit(10)     csit(11)     csit(12)     csit(13)     csit(14)     csit(15)     csit(16)     csit(17)     csit(18)     csit(19)     csit(20)     csit(21)     csit(22)     csit(23)     csit(24)     csit(25)     csit(26)     csit(27)     csit(28)     csit(29)     csit(30)     csit(31)     csit(32)     csit(33)     csit(34)     csit(35)     csit(36)
          fs             1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36
  0.90000E+01  0.17742E-03  0.42074E-03  0.69155E-03  0.64989E-01  0.87306E-03  0.46295E-03  0.39764E-03  0.62927E-03  0.84176E-01  0.68272E-01  0.56862E-03  0.53123E-03  0.38618E-03  0.76767E-01  0.41706E-03  0.87096E-01  0.62939E-03  0.65988E-03  0.53699E-01  0.45907E-01  0.48331E-01  0.70097E-01  0.71286E-01  0.57012E-01  0.42047E-03  0.62172E-03  0.97739E-03  0.60529E-01  0.37567E-03  0.60443E-01  0.55058E-03  0.62070E-03  0.60384E-03  0.78581E-01  0.61528E-01  0.27060E-03
  0.10000E+02  0.18616E-03  0.57360E-03  0.75301E-03  0.56702E-01  0.69230E-03  0.37621E-03  0.51816E-03  0.41663E-03  0.74032E-01  0.56611E-01  0.57350E-03  0.49947E-03  0.51959E-03  0.69719E-01  0.36878E-03  0.85152E-01  0.73619E-03  0.45392E-03  0.39865E-01  0.53077E-01  0.65360E-01  0.64940E-01  0.67850E-01  0.58436E-01  0.30275E-03  0.50690E-03  0.82977E-03  0.89070E-01  0.38500E-03  0.74274E-01  0.66253E-03  0.51532E-03  0.51486E-03  0.73099E-01  0.61123E-01  0.30740E-03
  0.11000E+02  0.23377E-03  0.65592E-03  0.74616E-03  0.72514E-01  0.51551E-03  0.38222E-03  0.41936E-03  0.41793E-03  0.77852E-01  0.67733E-01  0.64998E-03  0.57826E-03  0.39354E-03  0.76203E-01  0.33938E-03  0.80216E-01  0.61982E-03  0.56083E-03  0.44771E-01  0.68416E-01  0.74458E-01  0.63656E-01  0.48955E-01  0.67136E-01  0.48234E-03  0.51163E-03  0.64899E-03  0.66544E-01  0.35233E-03  0.67051E-01  0.56790E-03  0.33979E-03  0.56844E-03  0.49752E-01  0.64449E-01  0.30866E-03
  0.12000E+02  0.21670E-03  0.53571E-03  0.63018E-03  0.49989E-01  0.64852E-03  0.60585E-03  0.63985E-03  0.42659E-03  0.78934E-01  0.62103E-01  0.56398E-03  0.66268E-03  0.58022E-03  0.70600E-01  0.33033E-03  0.75058E-01  0.84979E-03  0.37471E-03  0.42385E-01  0.86765E-01  0.67602E-01  0.58426E-01  0.53313E-01  0.83718E-01  0.66591E-03  0.39928E-03  0.63444E-03  0.76249E-01  0.49230E-03  0.63123E-01  0.42570E-03  0.63369E-03  0.66494E-03  0.44561E-01  0.75941E-01  0.25272E-03
  0.13000E+02  0.11607E-03  0.62131E-03  0.59800E-03  0.68735E-01  0.75386E-03  0.50082E-03  0.67749E-03  0.57386E-03  0.66949E-01  0.64810E-01  0.52964E-03  0.43989E-03  0.69783E-03  0.81323E-01  0.35158E-03  0.58572E-01  0.81297E-03  0.57392E-03  0.45462E-01  0.73489E-01  0.57047E-01  0.57767E-01  0.62554E-01  0.72843E-01  0.60030E-03  0.41868E-03  0.81043E-03  0.54179E-01  0.40118E-03  0.86263E-01  0.39965E-03  0.53519E-03  0.50299E-03  0.65607E-01  0.73320E-01  0.16462E-03
  0.14000E+02  0.10336E-03  0.60008E-03  0.61184E-03  0.51618E-01  0.44075E-03  0.41288E-03  0.51489E-03  0.39061E-03  0.66067E-01  0.92639E-01  0.52487E-03  0.38224E-03  0.76401E-03  0.60967E-01  0.44387E-03  0.43176E-01  0.50332E-03  0.67485E-03  0.76266E-01  0.49941E-01  0.66928E-01  0.54028E-01  0.80322E-01  0.70008E-01  0.59856E-03  0.36747E-03  0.86306E-03  0.64181E-01  0.36114E-03  0.75826E-01  0.29503E-03  0.73439E-03  0.48315E-03  0.74620E-01  0.63101E-01  0.24116E-03
  0.15000E+02  0.10182E-03  0.60810E-03  0.66663E-03  0.43406E-01  0.63048E-03  0.57107E-03  0.55002E-03  0.46406E-03  0.81784E-01  0.86646E-01  0.57801E-03  0.35121E-03  0.59499E-03  0.44942E-01  0.26050E-03  0.57587E-01  0.96059E-03  0.52704E-03  0.54280E-01  0.88556E-01  0.56156E-01  0.47129E-01  0.76202E-01  0.86325E-01  0.71010E-03  0.48926E-03  0.10397E-02  0.61020E-01  0.26136E-03  0.57745E-01  0.44984E-03  0.46823E-03  0.50072E-03  0.75703E-01  0.71440E-01  0.29625E-03
  0.16000E+02  0.91222E-04  0.64153E-03  0.80942E-03  0.57574E-01  0.54642E-03  0.73077E-03  0.29012E-03  0.46076E-03  0.64996E-01  0.78428E-01  0.42694E-03  0.61731E-03  0.45098E-03  0.60707E-01  0.36365E-03  0.51540E-01  0.96281E-03  0.53979E-03  0.49826E-01  0.82958E-01  0.62466E-01  0.45689E-01  0.77617E-01  0.80244E-01  0.54438E-03  0.36375E-03  0.83324E-03  0.60251E-01  0.23164E-03  0.67071E-01  0.46337E-03  0.39817E-03  0.49254E-03  0.72231E-01  0.77911E-01  0.23384E-03
  0.17000E+02  0.16428E-03  0.42315E-03  0.59693E-03  0.59318E-01  0.84793E-03  0.58129E-03  0.43017E-03  0.84215E-03  0.67583E-01  0.78336E-01  0.78924E-03  0.62999E-03  0.46656E-03  0.69016E-01  0.46031E-03  0.58091E-01  0.74070E-03  0.47981E-03  0.47936E-01  0.79411E-01  0.60070E-01  0.48559E-01  0.63140E-01  0.71128E-01  0.42881E-03  0.33175E-03  0.89183E-03  0.74547E-01  0.28441E-03  0.72518E-01  0.58072E-03  0.55153E-03  0.61533E-03  0.66962E-01  0.71825E-01  0.42277E-03
  0.18000E+02  0.18780E-03  0.63378E-03  0.56134E-03  0.58380E-01  0.90498E-03  0.55809E-03  0.56533E-03  0.57964E-03  0.84008E-01  0.66815E-01  0.59235E-03  0.76897E-03  0.49550E-03  0.68241E-01  0.46126E-03  0.60367E-01  0.82983E-03  0.37588E-03  0.52493E-01  0.54235E-01  0.66678E-01  0.47346E-01  0.59371E-01  0.67018E-01  0.56266E-03  0.36126E-03  0.62162E-03  0.63293E-01  0.34854E-03  0.86930E-01  0.68081E-03  0.51909E-03  0.62149E-03  0.85092E-01  0.68154E-01  0.34826E-03
