Averager of naver=      20 pes(ifre,isnap),ifre=0,nfre)
        time    active_pes       pes(1)       pes(2)       pes(3)       pes(4)       pes(5)       pes(6)       pes(7)       pes(8)       pes(9)      pes(10)      pes(11)      pes(12)      pes(13)      pes(14)      pes(15)      pes(16)      pes(17)      pes(18)      pes(19)      pes(20)      pes(21)      pes(22)      pes(23)      pes(24)      pes(25)      pes(26)      pes(27)      pes(28)      pes(29)      pes(30)      pes(31)      pes(32)      pes(33)      pes(34)      pes(35)      pes(36)
           fs           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV
  0.90000E+01 -0.26306E+01  0.49874E-01 -0.52113E-01 -0.22271E+01 -0.22933E+01 -0.23455E+01 -0.24160E+01 -0.24810E+01 -0.25317E+01 -0.25746E+01 -0.26146E+01 -0.26563E+01 -0.26887E+01 -0.27332E+01 -0.27788E+01 -0.28170E+01 -0.28614E+01 -0.29385E+01 -0.44112E+01 -0.44793E+01 -0.45473E+01 -0.46038E+01 -0.46611E+01 -0.47085E+01 -0.51133E+01 -0.51917E+01 -0.52496E+01 -0.53018E+01 -0.53531E+01 -0.54230E+01 -0.65597E+01 -0.66105E+01 -0.66637E+01 -0.67094E+01 -0.67527E+01 -0.68062E+01 -0.74002E+01
  0.10000E+02 -0.26343E+01  0.42035E-01 -0.59317E-01 -0.22336E+01 -0.23050E+01 -0.23523E+01 -0.24217E+01 -0.24903E+01 -0.25367E+01 -0.25767E+01 -0.26213E+01 -0.26619E+01 -0.26932E+01 -0.27368E+01 -0.27779E+01 -0.28164E+01 -0.28610E+01 -0.29458E+01 -0.44141E+01 -0.44844E+01 -0.45466E+01 -0.46014E+01 -0.46681E+01 -0.47092E+01 -0.51165E+01 -0.51908E+01 -0.52520E+01 -0.53023E+01 -0.53492E+01 -0.54242E+01 -0.65617E+01 -0.66091E+01 -0.66616E+01 -0.67105E+01 -0.67544E+01 -0.68049E+01 -0.74001E+01
  0.11000E+02 -0.26326E+01  0.35118E-01 -0.64306E-01 -0.22387E+01 -0.23062E+01 -0.23605E+01 -0.24315E+01 -0.24965E+01 -0.25395E+01 -0.25786E+01 -0.26268E+01 -0.26594E+01 -0.26973E+01 -0.27432E+01 -0.27774E+01 -0.28143E+01 -0.28666E+01 -0.29525E+01 -0.44150E+01 -0.44883E+01 -0.45468E+01 -0.45977E+01 -0.46706E+01 -0.47169E+01 -0.51226E+01 -0.51863E+01 -0.52548E+01 -0.52997E+01 -0.53486E+01 -0.54256E+01 -0.65622E+01 -0.66092E+01 -0.66596E+01 -0.67102E+01 -0.67556E+01 -0.68054E+01 -0.74000E+01
  0.12000E+02 -0.26322E+01  0.31960E-01 -0.69155E-01 -0.22395E+01 -0.23066E+01 -0.23661E+01 -0.24365E+01 -0.24945E+01 -0.25463E+01 -0.25862E+01 -0.26276E+01 -0.26581E+01 -0.26949E+01 -0.27442E+01 -0.27784E+01 -0.28188E+01 -0.28749E+01 -0.29565E+01 -0.44154E+01 -0.44876E+01 -0.45469E+01 -0.45942E+01 -0.46717E+01 -0.47278E+01 -0.51284E+01 -0.51821E+01 -0.52536E+01 -0.52971E+01 -0.53537E+01 -0.54259E+01 -0.65619E+01 -0.66094E+01 -0.66588E+01 -0.67089E+01 -0.67565E+01 -0.68073E+01 -0.74002E+01
  0.13000E+02 -0.26237E+01  0.31847E-01 -0.73634E-01 -0.22387E+01 -0.23079E+01 -0.23679E+01 -0.24366E+01 -0.24893E+01 -0.25535E+01 -0.25875E+01 -0.26317E+01 -0.26590E+01 -0.26971E+01 -0.27383E+01 -0.27795E+01 -0.28298E+01 -0.28771E+01 -0.29596E+01 -0.44136E+01 -0.44829E+01 -0.45496E+01 -0.45907E+01 -0.46741E+01 -0.47384E+01 -0.51257E+01 -0.51839E+01 -0.52533E+01 -0.52970E+01 -0.53584E+01 -0.54264E+01 -0.65601E+01 -0.66095E+01 -0.66588E+01 -0.67076E+01 -0.67571E+01 -0.68109E+01 -0.74005E+01
  0.14000E+02 -0.26195E+01  0.32970E-01 -0.74812E-01 -0.22352E+01 -0.23085E+01 -0.23669E+01 -0.24301E+01 -0.24887E+01 -0.25474E+01 -0.25844E+01 -0.26327E+01 -0.26684E+01 -0.27008E+01 -0.27376E+01 -0.27816E+01 -0.28354E+01 -0.28768E+01 -0.29607E+01 -0.44124E+01 -0.44762E+01 -0.45442E+01 -0.45955E+01 -0.46767E+01 -0.47450E+01 -0.51218E+01 -0.51860E+01 -0.52530E+01 -0.53010E+01 -0.53610E+01 -0.54262E+01 -0.65574E+01 -0.66105E+01 -0.66589E+01 -0.67068E+01 -0.67576E+01 -0.68148E+01 -0.74010E+01
  0.15000E+02 -0.26204E+01  0.36019E-01 -0.73755E-01 -0.22288E+01 -0.23073E+01 -0.23648E+01 -0.24236E+01 -0.24840E+01 -0.25417E+01 -0.25823E+01 -0.26277E+01 -0.26707E+01 -0.27027E+01 -0.27460E+01 -0.27834E+01 -0.28348E+01 -0.28770E+01 -0.29613E+01 -0.44124E+01 -0.44673E+01 -0.45398E+01 -0.46010E+01 -0.46770E+01 -0.47490E+01 -0.51168E+01 -0.51883E+01 -0.52545E+01 -0.53044E+01 -0.53620E+01 -0.54266E+01 -0.65552E+01 -0.66100E+01 -0.66595E+01 -0.67070E+01 -0.67583E+01 -0.68182E+01 -0.74016E+01
  0.16000E+02 -0.26204E+01  0.41802E-01 -0.71697E-01 -0.22237E+01 -0.23010E+01 -0.23592E+01 -0.24214E+01 -0.24808E+01 -0.25346E+01 -0.25804E+01 -0.26250E+01 -0.26668E+01 -0.27008E+01 -0.27447E+01 -0.27858E+01 -0.28338E+01 -0.28810E+01 -0.29591E+01 -0.44075E+01 -0.44672E+01 -0.45384E+01 -0.46030E+01 -0.46709E+01 -0.47526E+01 -0.51135E+01 -0.51896E+01 -0.52572E+01 -0.53035E+01 -0.53617E+01 -0.54286E+01 -0.65533E+01 -0.66078E+01 -0.66607E+01 -0.67085E+01 -0.67594E+01 -0.68205E+01 -0.74022E+01
  0.17000E+02 -0.26230E+01  0.48662E-01 -0.68146E-01 -0.22174E+01 -0.22942E+01 -0.23536E+01 -0.24194E+01 -0.24786E+01 -0.25327E+01 -0.25749E+01 -0.26201E+01 -0.26615E+01 -0.26993E+01 -0.27399E+01 -0.27821E+01 -0.28321E+01 -0.28875E+01 -0.29528E+01 -0.44011E+01 -0.44736E+01 -0.45367E+01 -0.46036E+01 -0.46631E+01 -0.47521E+01 -0.51116E+01 -0.51898E+01 -0.52575E+01 -0.53033E+01 -0.53620E+01 -0.54283E+01 -0.65520E+01 -0.66053E+01 -0.66619E+01 -0.67105E+01 -0.67603E+01 -0.68215E+01 -0.74027E+01
  0.18000E+02 -0.26210E+01  0.55239E-01 -0.62738E-01 -0.22142E+01 -0.22865E+01 -0.23491E+01 -0.24125E+01 -0.24810E+01 -0.25309E+01 -0.25714E+01 -0.26113E+01 -0.26562E+01 -0.26976E+01 -0.27373E+01 -0.27754E+01 -0.28272E+01 -0.28866E+01 -0.29473E+01 -0.43968E+01 -0.44805E+01 -0.45374E+01 -0.45979E+01 -0.46611E+01 -0.47454E+01 -0.51117E+01 -0.51880E+01 -0.52564E+01 -0.53006E+01 -0.53647E+01 -0.54265E+01 -0.65506E+01 -0.66042E+01 -0.66618E+01 -0.67116E+01 -0.67617E+01 -0.68218E+01 -0.74030E+01
