 &plot nbnd=  32, nks=   152 /
            0.000000  0.000000  0.000000
   -5.755    6.218    6.218    6.218    8.781    8.781    8.781    9.595   13.949   13.949
   14.188   17.484   17.484   17.484   21.635   29.253   29.253   29.253   30.306   30.306
   31.987   31.987   31.987   35.633   35.633   35.633   40.775   40.775   40.775   44.525
   44.525   44.632
            0.000000  0.050000  0.000000
   -5.744    6.143    6.170    6.170    8.754    8.842    8.842    9.667   13.860   13.961
   14.237   17.503   17.503   17.546   21.715   29.087   29.087   29.267   30.172   30.218
   32.043   32.095   32.095   35.714   35.714   35.771   40.706   40.706   40.706   44.359
   44.500   44.684
            0.000000  0.100000  0.000000
   -5.711    5.938    6.041    6.041    8.676    9.011    9.011    9.864   13.621   13.997
   14.380   17.560   17.560   17.711   21.950   28.664   28.664   29.308   29.808   29.985
   32.179   32.344   32.344   35.957   35.957   36.150   40.502   40.502   40.504   43.897
   44.427   44.799
            0.000000  0.150000  0.000000
   -5.656    5.639    5.856    5.856    8.555    9.264    9.264   10.137   13.297   14.058
   14.608   17.654   17.654   17.935   22.332   28.101   28.101   29.287   29.379   29.657
   32.345   32.623   32.623   36.356   36.356   36.691   40.171   40.171   40.186   43.221
   44.312   44.686
            0.000000  0.200000  0.000000
   -5.579    5.280    5.640    5.640    8.403    9.574    9.574   10.420   12.969   14.143
   14.911   17.787   17.787   18.183   22.840   27.470   27.470   28.674   29.273   29.481
   32.505   32.873   32.873   36.892   36.892   37.322   39.728   39.728   39.766   42.404
   44.076   44.164
            0.000000  0.250000  0.000000
   -5.481    4.884    5.409    5.409    8.230    9.924    9.924   10.625   12.735   14.252
   15.275   17.956   17.956   18.443   23.452   26.810   26.810   28.012   28.852   29.617
   32.636   33.082   33.082   37.534   37.534   37.992   39.190   39.190   39.251   41.501
   43.401   43.991
            0.000000  0.300000  0.000000
   -5.362    4.466    5.176    5.176    8.047   10.303   10.303   10.640   12.715   14.386
   15.690   18.160   18.160   18.711   24.143   26.143   26.143   27.325   28.409   29.793
   32.725   33.254   33.254   38.186   38.186   38.642   38.642   38.648   38.662   40.546
   42.798   43.802
            0.000000  0.350000  0.000000
   -5.221    4.034    4.946    4.946    7.861   10.439   10.702   10.702   12.940   14.543
   16.146   18.398   18.398   18.991   24.885   25.481   25.481   26.629   27.952   30.014
   32.760   33.394   33.394   37.819   37.819   37.971   39.107   39.107   39.300   39.560
   42.300   43.605
            0.000000  0.400000  0.000000
